competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
whole_home,test_utility_1,test_utility_1,single_family,1,2499.9999999999995,805.5555555555554,1425.9259259259256,268.5185185185185,0.0,83.33333333333333,1342.5925925925924,0.0,0.0,10.740740740740737,794.8148148148147,0.0,0.0,5.3703703703703685,263.1481481481481,0.0
whole_home,test_utility_1,test_utility_1,single_family,2,2499.9999999999995,774.6913580246911,1456.7901234567898,268.5185185185185,0.0,337.96296296296293,1118.827160493827,0.0,0.0,31.646913580246903,743.0444444444443,0.0,0.0,8.879012345679008,259.63950617283945,0.0
whole_home,test_utility_1,test_utility_1,single_family,3,2499.9999999999995,759.259259259259,1482.5102880658435,258.23045267489704,0.0,550.1543209876543,932.3559670781892,0.0,0.0,87.33236213991768,671.9268971193413,0.0,0.0,15.50260082304526,242.72785185185177,0.0
whole_home,test_utility_1,test_utility_1,single_family,4,2499.9999999999995,753.2578875171466,1493.6556927297665,253.08641975308635,0.0,716.6923868312756,776.9633058984911,0.0,0.0,158.87298688614538,594.3849006310012,0.0,0.0,33.590300027434836,219.4961197256515,0.0
whole_home,test_utility_1,test_utility_1,single_family,5,2499.9999999999995,751.1145404663921,1497.799497027892,251.08596250571551,0.0,850.3300754458161,647.4694215820759,0.0,0.0,233.28918773772287,517.8253527286693,0.0,0.0,56.92022829958847,194.16573420612704,0.0
whole_home,test_utility_1,test_utility_1,single_family,6,2499.9999999999995,750.3762764822434,1499.2522100289589,250.37151348879735,0.0,959.6943587105623,539.5578513183966,0.0,0.0,304.1521424358335,446.22413404640986,0.0,0.0,81.21523159743208,169.15628189136527,0.0
whole_home,test_utility_1,test_utility_1,single_family,7,2499.9999999999995,750.1262193263219,1499.7483551795965,250.1254254940811,0.0,1050.116812414266,449.63154276533055,0.0,0.0,368.6668098629348,381.45940946338715,0.0,0.0,104.35887503892056,145.76655045516054,0.0
whole_home,test_utility_1,test_utility_1,single_family,8,2499.9999999999995,750.0422054141474,1499.9157214770783,250.042073108774,0.0,1125.2227691726362,374.69295230444214,0.0,0.0,425.8834674371793,324.15873797696804,0.0,0.0,125.43199935073417,124.6100737580398,0.0
whole_home,test_utility_1,test_utility_1,single_family,9,2499.9999999999995,750.0140905222779,1499.9718410063392,250.01406847138244,0.0,1187.7277140859708,312.24412692036844,0.0,0.0,475.78155632658513,274.23253419569284,0.0,0.0,144.12221406557288,105.89185440580957,0.0
whole_home,test_utility_1,test_utility_1,single_family,10,2499.9999999999995,750.0047005159083,1499.9906026433318,250.0046968407593,0.0,1239.787163543025,260.20343910030704,0.0,0.0,518.7987570213277,231.2059434945807,0.0,0.0,160.42206900349964,89.58262783725965,0.0
whole_home,test_utility_1,test_utility_1,single_family,11,2500.0,750.0015674511609,1499.9968657102029,250.0015668386361,0.0,1283.160666459947,216.83619925025587,0.0,0.0,555.579777851317,194.4217895998439,0.0,0.0,174.47429196373974,75.52727487489636,0.0
whole_home,test_utility_1,test_utility_1,single_family,12,2500.0,750.0005225858077,1499.9989549304717,250.00052248372032,0.0,1319.3021222219252,180.69683270854657,0.0,0.0,586.8389201722005,163.1616024136073,0.0,0.0,186.4894045477713,63.511117935949,0.0
whole_home,test_utility_1,test_utility_1,single_family,13,2500.0,750.0001742122838,1499.9996515924468,250.00017419526924,0.0,1349.4189576686579,150.5806939237888,0.0,0.0,613.285121850636,136.71505236164785,0.0,0.0,196.7007174068242,53.29945678844505,0.0
whole_home,test_utility_1,test_utility_1,single_family,14,2500.0,750.0000580735971,1499.9998838556414,250.00005807076127,0.0,1374.515972252484,125.48391160315734,0.0,0.0,635.582774876689,114.41728319690806,0.0,0.0,205.33980763262298,44.6602504381383,0.0
